nursery,longitude,latitude,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,tmean_7,tmean_8,tmean_9,tmean_10,tmean_11,tmean_12,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,MAT,MAP
alpine,-33.659596,151.026671,21.9,21.8,20.5,17.5,14,11.5,10.4,11.7,14.1,16.9,18.9,21.1,132,150,140,93,94,115,54,72,56,84,96,89,16.69166667,1175
andreasens,-33.87299,150.780626,22.4,22.3,20.8,17.6,14,11.3,10.2,11.6,14.2,17,19.1,21.5,100,100,101,76,60,72,37,49,38,67,83,63,16.83333333,846
mangrove mountain,-33.327898,151.157264,22.1,22,20.6,17.4,13.8,11.2,10.1,11.5,13.9,16.9,19,21.3,125,136,128,81,89,95,42,61,51,79,84,91,16.65,1062
trees impact,-33.180472,151.571626,22.4,22.5,21.4,18.7,15.6,13.1,12.2,13.2,15.2,17.8,19.5,21.6,129,158,144,117,113,136,66,66,69,84,96,88,17.76666667,1266
greenstock,-27.256703,153.024981,24.7,24.5,23.6,21.2,18.1,15.6,14.6,15.5,17.8,20.4,22.4,24,166,187,152,119,100,71,68,45,34,95,106,140,20.2,1283
ibrox,-27.553837,153.153343,24.8,24.5,23.4,21.1,18,15.4,14.3,15.2,17.6,20.3,22.4,24,154,163,149,89,86,78,69,43,35,92,102,132,20.08333333,1192
pallara,-27.620971,152.998968,25.1,24.6,23.5,21,17.8,15.1,14,15,17.5,20.4,22.6,24.4,149,151,127,81,70,68,62,39,34,85,98,126,20.08333333,1090
flemings,-37.862445,145.444704,18.6,18.9,17.2,13.9,11.1,8.7,7.9,8.9,10.6,12.9,14.8,16.8,64,56,69,89,109,93,98,109,110,106,95,87,13.35833333,1085
speciality,-37.951617,145.340269,18.6,18.9,17.2,13.9,11.1,8.7,7.9,8.9,10.6,12.9,14.8,16.8,64,56,69,89,109,93,98,109,110,106,95,87,13.35833333,1085
established tree transplanters,-37.812102,145.461795,19.4,19.7,17.9,14.5,11.5,9,8.3,9.4,11.2,13.5,15.5,17.5,57,54,59,79,98,78,87,100,98,96,90,81,13.95,977
mt william,-37.239562,144.782219,18.4,18.9,16.6,12.8,9.5,6.9,6.1,7.2,9,11.7,14.1,16.5,46,44,45,63,86,78,91,100,85,82,60,53,12.30833333,833
darwin plant wholesalers,-12.573589,131.25268,28.3,28,28.1,28,26.4,24.2,23.7,25.4,27.6,29.3,29.5,28.9,338,291,268,85,14,1,1,3,13,56,128,210,27.28333333,1408
benara,-31.595196,115.724438,24.2,24.4,22.7,19.5,16.5,14.6,13.5,13.5,14.7,16.6,19,21.5,8,16,15,50,106,157,153,102,75,38,21,6,18.39166667,747
arborwest,-31.72602,115.830227,24.1,24.4,22.7,19.6,16.6,14.7,13.6,13.7,14.8,16.7,19.1,21.5,9,14,15,45,104,163,159,107,73,42,22,7,18.45833333,760
ellenby tree farm,-31.763484,115.862019,24.5,24.7,22.9,19.4,16.2,14.2,13.1,13.3,14.5,16.4,19.1,21.7,8,15,15,45,103,161,159,109,72,42,22,9,18.33333333,760
adelaide advanced,-35.064844,138.647758,20.7,20.9,19,16.1,13.2,11,10.1,10.8,12.3,14.7,17,18.9,21,21,28,60,92,89,104,87,69,58,37,32,15.39166667,698
adelaide tree farm,-34.995084,138.766712,19.9,20.2,18.1,15,11.8,9.5,8.7,9.4,11,13.5,15.9,18.1,27,25,33,69,106,106,132,115,92,72,46,39,14.25833333,862
heynes,-34.74424,138.609229,22.5,22.7,20.6,17.2,14.1,11.6,10.8,11.6,13.3,15.8,18.6,20.8,19,17,22,38,54,54,58,55,46,42,27,24,16.63333333,456
cleveland,-34.942277,138.911917,19.5,19.7,17.6,14.5,11.2,9,8.2,8.9,10.5,13,15.4,17.6,24,24,30,61,95,94,120,115,88,68,41,33,13.75833333,793
manor,-34.97082,138.864022,19.5,19.7,17.6,14.5,11.2,9,8.2,8.9,10.5,13,15.4,17.6,24,24,30,61,95,94,120,115,88,68,41,33,13.75833333,793
freshford,-34.823419,138.883282,20,20.2,18,14.7,11.3,9,8.3,9,10.7,13.3,15.8,18,22,22,28,55,89,90,110,104,82,63,37,31,14.025,733
