nursery,latitude,longitude
alpine,-33.659596,151.026671
adreasens,-33.87299,150.780626
mangrove mountain,-33.327898,151.157264
trees impact,-33.180472,151.571626
greenstock,-27.256703,153.024981
ibrox,-27.553837,153.153343
pallara,-27.620971,152.998968
flemings,-37.862445,145.444704
speciality,-37.951617,145.340269
ett,-37.812102,145.461795
mt william,-37.239562,144.782219
darwin plant wholesalers,-12.573589,131.25268
benara,-31.595196,115.724438
arbor west,-31.72602,115.830227
ellenby tree farm,-31.763484,115.862019
AAT,-35.064844,138.647758
ATF,-34.995084,138.766712
heynes,-34.74424,138.609229
cleveland,-34.942277,138.911917
manor,-34.97082,138.864022
freshford,-34.823419,138.883282
